,X.1,X,City,TotalDeaths,Massachusetts.Cities.by.Population.Rank,Population,County,Year,Deaths,DeathsPerCapita,TotalDeathsPerCapita
1182,1182,1182,Hull,18,179,10449,Plymouth,2016,5,0.000478515,0.001722653
1183,1183,1183,Huntington,0,286,2186,Hampshire,2016,0,0,0
1184,1184,1184,Ipswich,14,144,13995,Essex,2016,3,0.000214362,0.001000357
1185,1185,1185,Kingston,12,151,13565,Plymouth,2016,1,7.37E-05,0.00088463
1186,1186,1186,Lakeville,7,168,11424,Plymouth,2016,1,8.75E-05,0.000612745
1187,1187,1187,Lancaster,6,205,8074,Worcester,2016,1,0.000123854,0.000743126
1188,1188,1188,Lanesborough,4,279,2965,Berkshire,2016,1,0.000337268,0.001349073
1189,1189,1189,Lawrence,145,13,80162,Essex,2016,45,0.000561363,0.001808837
1190,1190,1190,Lee,8,238,5725,Berkshire,2016,1,0.000174672,0.00139738
1191,1191,1191,Leicester,11,169,11373,Worcester,2016,2,0.000175855,0.000967203
1192,1192,1192,Lenox,3,250,4957,Berkshire,2016,0,0,0.000605205
1193,1193,1193,Leominster,52,36,41615,Worcester,2016,13,0.000312387,0.001249549
1194,1194,1194,Leverett,1,295,1853,Franklin,2016,0,0,0.000539665
1195,1195,1195,Lexington,8,51,33727,Middlesex,2016,2,5.93E-05,0.000237199
1196,1196,1196,Leyden,0,335,715,Franklin,2016,0,0,0
1197,1197,1197,Lincoln,1,222,6781,Middlesex,2016,1,0.000147471,0.000147471
1198,1198,1198,Littleton,3,181,10115,Middlesex,2016,2,0.000197726,0.000296589
1199,1199,1199,Longmeadow,6,129,15864,Hampden,2016,3,0.000189107,0.000378215
1200,1200,1200,Lowell,246,5,111346,Middlesex,2016,68,0.000610709,0.002209329
1201,1201,1201,Ludlow,18,91,21502,Hampden,2016,6,0.000279044,0.000837131
1202,1202,1202,Lunenburg,11,171,11312,Worcester,2016,1,8.84E-05,0.000972419
1203,1203,1203,Lynn,221,9,94063,Essex,2016,46,0.000489034,0.002349489
1204,1204,1204,Lynnfield,7,154,12942,Essex,2016,1,7.73E-05,0.000540875
1205,1205,1205,Malden,82,17,61246,Middlesex,2016,15,0.000244914,0.001338863
1206,1206,1206,Manchester,2,NA,5393,Essex,2016,2,0.000370851,0.000370851
1207,1207,1207,Mansfield,25,82,23946,Bristol,2016,8,0.000334085,0.001044016
1208,1208,1208,Marblehead,12,93,20554,Essex,2016,4,0.000194609,0.000583828
1209,1209,1209,Marion,4,248,5107,Plymouth,2016,1,0.00019581,0.000783239
1210,1210,1210,Marlborough,29,41,39873,Middlesex,2016,4,0.000100319,0.000727309
1211,1211,1211,Marshfield,32,76,25836,Plymouth,2016,9,0.000348351,0.001238582
1212,1212,1212,Mashpee,27,142,14191,Barnstable,2016,8,0.000563738,0.001902614
1213,1213,1213,Mattapoisett,5,229,6330,Plymouth,2016,2,0.000315956,0.000789889
1214,1214,1214,Maynard,7,177,10665,Middlesex,2016,0,0,0.000656353
1215,1215,1215,Medfield,1,155,12845,Norfolk,2016,1,7.79E-05,7.79E-05
1216,1216,1216,Medford,78,20,57797,Middlesex,2016,17,0.000294133,0.001349551
1217,1217,1217,Medway,5,152,13329,Norfolk,2016,3,0.000225073,0.000375122
1218,1218,1218,Melrose,31,67,28367,Middlesex,2016,10,0.000352522,0.001092819
1219,1219,1219,Mendon,3,234,6094,Worcester,2016,0,0,0.000492287
1220,1220,1220,Merrimac,5,219,6913,Essex,2016,1,0.000144655,0.000723275
1221,1221,1221,Methuen,60,NA,50259,Essex,2016,14,0.000278557,0.001193816
1222,1222,1222,Middleborough,41,80,24873,Plymouth,2016,11,0.000442247,0.001648374
1223,1223,1223,Middlefield,0,NA,536,Hampshire,2016,0,0,0
1224,1224,1224,Middleton,11,182,9861,Essex,2016,2,0.000202819,0.001115506
1225,1225,1225,Milford,26,62,28933,Worcester,2016,11,0.000380189,0.000898628
1226,1226,1226,Millbury,21,149,13733,Worcester,2016,4,0.000291269,0.001529163
1227,1227,1227,Millis,8,200,8216,Norfolk,2016,4,0.000486855,0.00097371
1228,1228,1228,Millville,1,271,3252,Worcester,2016,0,0,0.000307503
1229,1229,1229,Milton,12,69,27575,Norfolk,2016,6,0.000217588,0.000435177
1230,1230,1230,Monroe,0,349,118,Franklin,2016,0,0,0
1231,1231,1231,Monson,6,194,8836,Hampden,2016,3,0.00033952,0.00067904
1232,1232,1232,Montague,8,199,8259,Franklin,2016,3,0.00036324,0.00096864
1233,1233,1233,Monterey,0,325,936,Berkshire,2016,0,0,0
1234,1234,1234,Montgomery,1,331,864,Hampden,2016,1,0.001157407,0.001157407
1235,1235,1235,Mount Washington,0,348,158,Berkshire,2016,0,0,0
1236,1236,1236,Nahant,3,266,3502,Essex,2016,2,0.000571102,0.000856653
1237,1237,1237,Nantucket,8,172,11229,Nantucket,2016,2,0.00017811,0.000712441
1238,1238,1238,Natick,25,45,36246,Middlesex,2016,3,8.28E-05,0.000689731
1239,1239,1239,Needham,3,57,30999,Norfolk,2016,1,3.23E-05,9.68E-05
1240,1240,1240,New Ashford,1,347,223,Berkshire,2016,0,0,0.004484305
1241,1241,1241,New Bedford,212,7,95120,Bristol,2016,57,0.000599243,0.002228764
1242,1242,1242,New Braintree,0,323,1025,Worcester,2016,0,0,0
1243,1243,1243,New Marlborough,1,310,1458,Berkshire,2016,0,0,0.000685871
1244,1244,1244,New Salem,1,324,1017,Franklin,2016,0,0,0.000983284
1245,1245,1245,Newbury,6,218,7079,Essex,2016,1,0.000141263,0.000847577
1246,1246,1246,Newburyport,18,108,18060,Essex,2016,4,0.000221484,0.000996678
1247,1247,1247,Newton,40,11,88994,Middlesex,2016,16,0.000179787,0.000449469
1248,1248,1248,Norfolk,6,164,11793,Norfolk,2016,3,0.000254388,0.000508776
1249,1249,1249,North Adams,23,153,12970,Berkshire,2016,6,0.000462606,0.001773323
1250,1250,1250,North Andover,15,56,31013,Essex,2016,3,9.67E-05,0.000483668
1251,1251,1251,North Attleboro,36,NA,29153,Bristol,2016,8,0.000274414,0.001234864
1252,1252,1252,North Brookfield,5,253,4793,Worcester,2016,3,0.000625913,0.001043188
